"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-03-31,"48081","MI","Detroit","Macomb","Saint Clair Shores",5286,1201,0.00334168755221387,0.0075503355704698,0.00670578373847443,9189
2016-03-31,"76034","TX","Dallas-Fort Worth","Tarrant","Colleyville",5287,3656,0.00109529025191676,0,0.0418922770019949,8982
2016-03-31,"92835","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Fullerton",5288,2979,0.00812182741116751,0.020904729266621,0.0801305293691081,7818
2016-03-31,"21040","MD","Baltimore","Harford","Edgewood",5289,1353,-0.00294767870302137,-0.00368188512518409,-0.0223988439306358,7605
2016-03-31,"33406","FL","Miami-Fort Lauderdale","Palm Beach","Lake Clarke Shores",5290,1478,0.00887372013651877,0.0151098901098901,0.0193103448275862,8264
2016-03-31,"33761","FL","Tampa","Pinellas","Clearwater",5291,1334,0.00451807228915663,0.00300751879699248,0.0237912509593246,8094
2016-03-31,"98022","WA","Seattle","King","Enumclaw",5292,1809,0.00555864369093941,0.00779944289693593,0.0390580126364159,7216
2016-03-31,"60406","IL","Chicago","Cook","Blue Island",5293,1306,0.00461538461538462,0.00693909020817271,0.00307219662058372,5416
2016-03-31,"53027","WI","Milwaukee","Washington","Town of Hartford",5294,1630,-0.0127195639006663,0.0550161812297735,0.100607697501688,8691
2016-03-31,"32217","FL","Jacksonville","Duval","Jacksonville",5295,1226,0.000816326530612245,0.00491803278688525,0.0040950040950041,6692
2016-03-31,"14830","NY","Corning","Steuben","Town of Corning",5296,1342,0.00449101796407186,0.00224047796863331,-0.0789293067947838,6350
2016-03-31,"12144","NY","Albany","Rensselaer","Rensselaer",5297,1304,0.0235478806907378,0.0292028413575375,0.0243519245875884,6407
2016-03-31,"49017","MI","Battle Creek","Calhoun","Battle Creek",5298,899,-0.0260021668472373,-0.0596234309623431,0.0393063583815029,7689
2016-03-31,"53172","WI","Milwaukee","Milwaukee","South Milwaukee",5299,1106,-0.0036036036036036,-0.0272647317502199,-0.0365853658536585,615
2016-03-31,"32926","FL","Melbourne","Brevard","Cocoa",5300,1239,0,0.0197530864197531,0.063519313304721,7557
2016-03-31,"64134","MO","Kansas City","Jackson","Kansas City",5301,812,-0.00490196078431373,-0.0193236714975845,-0.0181378476420798,8077
2016-03-31,"48473","MI","Flint","Genesee","Mundy Township",5302,1050,-0.004739336492891,0.079136690647482,0.131465517241379,8347
2016-03-31,"33774","FL","Tampa","Pinellas","Largo",5303,1365,0.00812407680945347,0.0178970917225951,0.0606060606060606,8500
2016-03-31,"08037","NJ","Atlantic City","Atlantic","Hammonton",5304,1557,0.0025756600128783,-0.000641848523748395,0.073053066850448,8245
2016-03-31,"44110","OH","Cleveland","Cuyahoga","Cleveland",5305,776,0.00648508430609598,-0.0164765525982256,-0.00640204865556978,6187
2016-03-31,"78148","TX","San Antonio","Bexar","Universal City",5306,1304,0.00153609831029186,-0.00229533282325937,0.0147859922178988,5629
2016-03-31,"47025","IN","Cincinnati","Dearborn","Hidden Valley",5307,1189,0.0110544217687075,0.0197255574614065,0.0197255574614065,8557
2016-03-31,"84092","UT","Salt Lake City","Salt Lake","Sandy",5308,1890,0.0177705977382876,0.0361842105263158,0.0606060606060606,10853
2016-03-31,"18411","PA","Scranton","Lackawanna","South Abington Township",5309,1291,0.00623538581449727,-0.0451183431952663,-0.00692307692307692,8168
2016-03-31,"07869","NJ","New York","Morris","Randolph",5310,2718,0.0126676602086438,0.0241145440844009,0.0592361652377241,7472
2016-03-31,"13208","NY","Syracuse","Onondaga","Syracuse",5311,998,0.0142276422764228,0.00402414486921529,0.0617021276595745,6197
2016-03-31,"02346","MA","Boston","Plymouth","Middleborough",5312,1844,0.0137438152831226,-0.00270416441319632,0.0733410942956927,7187
2016-03-31,"12533","NY","New York","Dutchess","East Fishkill",5313,2101,-0.0056791292001893,-0.0259619842373667,0.0208940719144801,8615
2016-03-31,"37091","TN","Lewisburg","Marshall","Lewisburg",5314,953,0.0116772823779193,0.0138297872340426,0.0336225596529284,9359
2016-03-31,"75702","TX","Tyler","Smith","Tyler",5315,867,-0.0125284738041002,-0.0192307692307692,-0.0737179487179487,7734
2016-03-31,"61115","IL","Rockford","Winnebago","Machesney Park",5316,1084,-0.00641613198900092,-0.00367647058823529,0.0743310208126858,8635
2016-03-31,"73008","OK","Oklahoma City","Oklahoma","Bethany",5317,954,0,-0.0103734439834025,0.0258064516129032,6888
2016-03-31,"46563","IN","Plymouth","Marshall","Plymouth",5318,1043,0.00384985563041386,-0.0169651272384543,0.000959692898272553,6597
2016-03-31,"45066","OH","Cincinnati","Warren","Springboro",5319,1665,0.00240818783865141,0.00909090909090909,0.000600961538461538,8723
2016-03-31,"32750","FL","Orlando","Seminole","Longwood",5320,1466,-0.00204220558202859,0.0047978067169294,0.0434163701067616,8799
2016-03-31,"45322","OH","Dayton","Montgomery","Englewood",5321,1053,0.00958772770853308,0.0233236151603499,0.0164092664092664,8085
2016-03-31,"32583","FL","Pensacola","Santa Rosa","Milton",5322,1082,-0.000923361034164358,-0.00551470588235294,0,6930
2016-03-31,"91752","CA","Riverside","Riverside","Mira Loma",5323,2105,-0.00142314990512334,-0.00284225485551871,0.0273304050756467,7412
2016-03-31,"33544","FL","Tampa","Pasco","Wesley Chapel",5324,1588,0,-0.00125786163522013,0.0205655526992288,7493
2016-03-31,"63367","MO","St. Louis","Saint Charles","Lake Saint Louis",5325,1580,0.00126742712294043,0.00381194409148666,0.0273081924577373,8385
2016-03-31,"13212","NY","Syracuse","Onondaga","North Syracuse",5326,1208,0.0125733445096396,0.0298380221653879,0.051348999129678,7482
2016-03-31,"30248","GA","Atlanta","Henry","Locust Grove",5327,1158,0.00433651344319167,0.0148992112182296,0.031166518254675,9362
2016-03-31,"38242","TN","Paris","Henry","Paris",5328,886,0.00681818181818182,0.00911161731207289,0.00112994350282486,6868
2016-03-31,"02021","MA","Boston","Norfolk","Canton",5329,2555,-0.00312134217713617,-0.00506230529595016,0.0386178861788618,7397
2016-03-31,"10591","NY","New York","Westchester","Tarrytown",5330,3104,0.00129032258064516,-0.00672,0.0583020797817934,6575
2016-03-31,"96761","HI","Kahului","Maui","Lahaina",5331,2422,0.00497925311203319,-0.00329218106995885,0.00372979693327808,15153
2016-03-31,"23805","VA","Richmond","Petersburg City","Petersburg",5332,1072,0.00468603561387067,0.00941619585687382,0.012275731822474,6332
2016-03-31,"92405","CA","Riverside","San Bernardino","San Bernardino",5333,1252,0.00400962309542903,0.0016,0.0450751252086811,7416
2016-03-31,"99502","AK","Anchorage","Anchorage","Anchorage",5334,2014,0.0115519839276745,0.0171717171717172,-0.00346363186541316,7962
2016-03-31,"29036","SC","Columbia","Lexington","Chapin",5335,1467,0.00341997264021888,0.00755494505494505,0.0166320166320166,6565
2016-03-31,"97058","OR","The Dalles, OR","Wasco","The Dalles",5336,1208,-0.0154849225753871,-0.0343725019984013,0.0280851063829787,6329
2016-03-31,"14618","NY","Rochester","Monroe","Brighton",5337,1763,0.00284414106939704,0.0149683362118595,0.0267909143855562,7388
2016-03-31,"32444","FL","Panama City","Bay","Lynn Haven",5338,1396,0.0093998553868402,0.0227106227106227,0.0535849056603774,7452
2016-03-31,"19428","PA","Philadelphia","Montgomery","Conshohocken",5339,1757,0.00113960113960114,-0.00113700966458215,0.0292911540714704,6706
2016-03-31,"18944","PA","Philadelphia","Bucks","Perkasie",5340,1717,0.00350672121566335,-0.00290360046457607,0.0324714371617559,8612
